time,src,dst,protocol,length,flags,info,src_port,dst_port,icmp_type
1730803248,192.168.1.58,10.0.1.29,ICMP,84,,Echo request,,,8
1730803249,192.168.1.59,10.0.1.29,ICMP,98,,Echo request,,,8
1730803250,192.168.1.60,10.0.1.30,ICMP,84,,Echo request,,,8
1730803251,192.168.1.61,10.0.1.30,ICMP,72,,Echo reply,,,0
1730803252,192.168.1.62,10.0.1.31,ICMP,84,,Echo request,,,8
1730803253,192.168.1.63,10.0.1.31,ICMP,84,,Echo request,,,8
1730803254,192.168.1.64,10.0.1.32,ICMP,84,,Echo request,,,8
1730803255,192.168.1.65,10.0.1.32,ICMP,72,,Echo reply,,,0
1730803256,192.168.1.66,10.0.1.33,ICMP,84,,Echo request,,,8
1730803257,192.168.1.67,10.0.1.33,ICMP,84,,Echo request,,,8
1730803258,192.168.1.68,10.0.1.34,ICMP,84,,Echo request,,,8
1730803259,192.168.1.69,10.0.1.34,ICMP,98,,Echo request,,,8
1730803260,192.168.1.70,10.0.1.35,ICMP,84,,Echo request,,,8
1730803261,192.168.1.71,10.0.1.35,ICMP,72,,Echo reply,,,0
1730803262,192.168.1.72,10.0.1.36,ICMP,84,,Echo request,,,8
1730803263,192.168.1.73,10.0.1.36,ICMP,84,,Echo request,,,8
1730803264,192.168.1.74,10.0.1.37,ICMP,84,,Echo request,,,8
1730803265,192.168.1.75,10.0.1.37,ICMP,98,,Echo request,,,8
1730803266,192.168.1.76,10.0.1.38,ICMP,84,,Echo request,,,8
1730803267,192.168.1.77,10.0.1.38,ICMP,84,,Echo request,,,8
1730803268,192.168.1.78,10.0.1.39,ICMP,84,,Echo request,,,8
1730803269,192.168.1.79,10.0.1.39,ICMP,72,,Echo reply,,,0
1730803270,192.168.1.80,10.0.1.40,ICMP,84,,Echo request,,,8
1730803271,192.168.1.81,10.0.1.40,ICMP,84,,Echo request,,,8
1730803272,192.168.1.82,10.0.1.41,ICMP,84,,Echo request,,,8
1730803273,192.168.1.83,10.0.1.41,ICMP,84,,Echo request,,,8
1730803274,192.168.1.84,10.0.1.42,ICMP,84,,Echo request,,,8

